日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-05-08,=11922.5600,=23114.5500,=21832280367329.1797,=16621327921790,=6076138979300.7373,=0.8834,=0.6364,=0.9912,=0.8252,=0.6657
2025-12-31,=11791.3100,=22773.0200,=24187709765201.4102,=16994965886214,=6770439021007.1895,=1.0096,=0.8402,=0.9832,=0.8188,=0.6639
2024-12-31,=11875.2400,=21904.1900,=22722149302614.9375,=14622533151048,=5604868712323.5508,=0.8561,=0.6053,=0.9791,=0.7909,=0.6582
2023-12-29,=10537.0400,=18463.3300,=11360099254071.5469,=8275567243876,=2925950079054.8989,=0.6176,=0.0218,=1.0086,=0.8170,=0.6553
2022-12-30,=9690.5100,=16301.5000,=13509113132460.2363,=9643059547883,=3928330827301.2012,=0.6261,=0.0301,=1.0296,=0.8703,=0.6825
2021-12-31,=10086.2704,=16176.2200,=11908111927934.6211,=8501105628925,=2953083800379.2500,=0.6495,=0.0116,=1.0538,=0.9225,=0.7948
2020-12-31,=8855.0048,=13562.5600,=15406475035671.3594,=11181271373909,=4539136257936.8213,=0.8033,=0.0877,=1.1576,=0.9520,=0.8633
2019-12-31,=9033.8200,=13252.6500,=15872436505573.5000,=11713145591909,=3997180008899.1802,=0.9403,=0.2472,=1.2396,=1.0096,=0.9321
2018-12-28,=8035.3800,=11338.6200,=11848321825003.1992,=8228319447919,=2751574399477.1318,=0.8967,=0.0128,=1.2751,=1.1239,=0.9899
2017-12-29,=9679.8400,=13202.4100,=14628368280957,=10403129141290,=3250919146672.2798,=1.1427,=0.0946,=1.3136,=1.2714,=1.2375
2017-05-26,=9588.4200,=12742.4000,=18522546401955.6016,=13832642170802,=4838446138132.0654,=1.2646,,=1.2646,=1.2646,=1.2646

数据来源于：理杏仁网站(lixinger.com)
